Source,Target,Type,Id,Label,Weight
Python,Аналитическое мышление,Undirected,3199,,6
Microsoft Excel,Аналитическое мышление,Undirected,2921,,123
Обслуживание клиентов банка,Аналитическое мышление,Undirected,2896,,4
Моделирование рисков,Аналитическое мышление,Undirected,2538,,5
Ведение бухгалтерского учета,Аналитическое мышление,Undirected,2025,,1
Управление данными,Аналитическое мышление,Undirected,1965,,8
Разработка пользовательских сценариев,Аналитическое мышление,Undirected,1679,,13
Figma,Аналитическое мышление,Undirected,1501,,3
Составление карты пути клиента (CJM),Аналитическое мышление,Undirected,1423,,17
Анализ данных,Аналитическое мышление,Undirected,1044,,153
Научно-исследовательская работа,Аналитическое мышление,Undirected,932,,491
Финансовый анализ,Аналитическое мышление,Undirected,733,,22
DAX,Аналитическое мышление,Undirected,309,,3
IBM SPSS Statistics,Аналитическое мышление,Undirected,229,,11
UI/UX Дизайн,Аналитическое мышление,Undirected,131,,25
Статистическая обработка данных,Математический анализ,Undirected,6114,,3
Статистическая обработка данных,Управление рисками,Undirected,5923,,1
Статистическая обработка данных,Статистическая обработка данных,Undirected,4829,,5
Статистическая обработка данных,Написание статей,Undirected,4113,,1
Статистическая обработка данных,Экспедирование и транспортная логистика,Undirected,3654,,2
Статистическая обработка данных,Ведение финансовой отчетности,Undirected,745,,1
Работа с биржами,Статистическая обработка данных,Undirected,6487,,2
Создание презентационных материалов,Статистическая обработка данных,Undirected,6428,,16
Научно-исследовательская работа,Статистическая обработка данных,Undirected,6378,,43
Разработка сметной документации,Статистическая обработка данных,Undirected,6085,,1
Численные расчеты,Статистическая обработка данных,Undirected,5672,,1
IBM SPSS Statistics,Статистическая обработка данных,Undirected,5404,,5
Microsoft PowerPoint,Статистическая обработка данных,Undirected,5253,,16
Управленческое консультирование,Статистическая обработка данных,Undirected,5245,,4
Обслуживание клиентов банка,Статистическая обработка данных,Undirected,4241,,2
Анализ инвестиционных проектов,Статистическая обработка данных,Undirected,3634,,1
GameDev,Статистическая обработка данных,Undirected,3496,,3
Работа с жилой недвижимостью,Статистическая обработка данных,Undirected,3182,,1
Проведение интервью,Статистическая обработка данных,Undirected,2409,,12
Python,Статистическая обработка данных,Undirected,2381,,2
Публичные выступления и проведение презентаций,Статистическая обработка данных,Undirected,2048,,18
Анализ данных,Статистическая обработка данных,Undirected,1949,,26
Экономический анализ,Статистическая обработка данных,Undirected,1331,,3
Финансовый анализ,Статистическая обработка данных,Undirected,1234,,6
Управление продуктом,Статистическая обработка данных,Undirected,1146,,2
Microsoft Excel,Статистическая обработка данных,Undirected,1101,,23
Научно-исследовательская работа,Управленческое консультирование,Undirected,6723,,81
Научно-исследовательская работа,Технический перевод,Undirected,6451,,1
Научно-исследовательская работа,Составление графиков,Undirected,6421,,1
Научно-исследовательская работа,Выполнение производственного технического контроля,Undirected,6350,,17
Научно-исследовательская работа,Обеспечение информационной безопасности,Undirected,6264,,3
Научно-исследовательская работа,Работа с системами мониторинга,Undirected,6196,,2
Научно-исследовательская работа,Работа с инвесторами,Undirected,5930,,6
Научно-исследовательская работа,Прохождение и проведение экспертиз,Undirected,5882,,9
Научно-исследовательская работа,Qlik Sense,Undirected,5405,,7
Научно-исследовательская работа,Экспедирование и транспортная логистика,Undirected,5292,,2
Научно-исследовательская работа,Знания в области силовой электроники,Undirected,5281,,1
Научно-исследовательская работа,Организация учебного процесса,Undirected,5239,,2
Научно-исследовательская работа,Контроль качества,Undirected,5099,,8
Научно-исследовательская работа,Управление производством,Undirected,4291,,28
Научно-исследовательская работа,Обслуживание клиентов банка,Undirected,4236,,16
Научно-исследовательская работа,Знания в области электротехники,Undirected,4212,,22
Научно-исследовательская работа,Параллельное программирование,Undirected,4143,,1
Научно-исследовательская работа,Нефтепереработка,Undirected,3950,,1
Научно-исследовательская работа,Прототипирование,Undirected,3761,,9
Научно-исследовательская работа,Умение преподавать,Undirected,3231,,9
Научно-исследовательская работа,Ведение финансовой отчетности,Undirected,3225,,4
Научно-исследовательская работа,Разработка чертежей,Undirected,3031,,3
Научно-исследовательская работа,Умение принимать решения,Undirected,2932,,22
Научно-исследовательская работа,Работа с жилой недвижимостью,Undirected,2922,,2
Научно-исследовательская работа,Создание презентационных материалов,Undirected,2812,,184
Научно-исследовательская работа,Проведение интервью,Undirected,2734,,85
Научно-исследовательская работа,Публичные выступления и проведение презентаций,Undirected,2489,,254
Научно-исследовательская работа,Проектное финансирование,Undirected,2440,,6
Научно-исследовательская работа,Научно-исследовательская работа,Undirected,2284,,92
Научно-исследовательская работа,Разработка пользовательских сценариев,Undirected,2170,,24
Научно-исследовательская работа,Анализ продукта,Undirected,2151,,5
Научно-исследовательская работа,Чтение технической документации,Undirected,2015,,15
Научно-исследовательская работа,Математический анализ,Undirected,2008,,8
